timestamp,video_id,viewers,started_at,duration,status_text,url
1662574201,xI6ph__1wnc,4742,1662566757,7446,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=7446
1662574261,xI6ph__1wnc,4794,1662566757,7506,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=7506
1662574321,xI6ph__1wnc,4769,1662566757,7566,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=7566
1662574381,xI6ph__1wnc,4838,1662566757,7626,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=7626
1662574440,xI6ph__1wnc,4837,1662566757,7685,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=7685
1662574501,xI6ph__1wnc,4879,1662566757,7746,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=7746
1662574560,xI6ph__1wnc,4869,1662566757,7805,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=7805
1662574621,xI6ph__1wnc,4885,1662566757,7865,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=7865
1662574681,xI6ph__1wnc,4886,1662566757,7926,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=7926
1662574740,xI6ph__1wnc,4912,1662566757,7985,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=7985
1662574801,xI6ph__1wnc,4902,1662566757,8046,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=8046
1662574860,xI6ph__1wnc,4933,1662566757,8105,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=8105
1662574920,xI6ph__1wnc,5004,1662566757,8165,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=8165
1662574980,xI6ph__1wnc,5020,1662566757,8225,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=8225
1662575041,xI6ph__1wnc,5025,1662566757,8286,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=8286
1662575100,xI6ph__1wnc,4976,1662566757,8345,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=8345
1662575160,xI6ph__1wnc,4990,1662566757,8405,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=8405
1662575222,xI6ph__1wnc,5030,1662566757,8467,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=8467
1662575281,xI6ph__1wnc,5062,1662566757,8526,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=8526
1662575341,xI6ph__1wnc,5030,1662566757,8586,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=8586
1662575401,xI6ph__1wnc,5047,1662566757,8646,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=8646
1662575461,xI6ph__1wnc,5014,1662566757,8706,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=8706
1662575521,xI6ph__1wnc,5004,1662566757,8765,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=8765
1662575581,xI6ph__1wnc,5022,1662566757,8826,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=8826
1662575640,xI6ph__1wnc,5085,1662566757,8885,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=8885
1662575701,xI6ph__1wnc,5124,1662566757,8946,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=8946
1662575761,xI6ph__1wnc,5182,1662566757,9006,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=9006
1662575820,xI6ph__1wnc,5197,1662566757,9065,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=9065
1662575880,xI6ph__1wnc,5202,1662566757,9125,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=9125
1662575941,xI6ph__1wnc,5190,1662566757,9185,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=9185
1662576001,xI6ph__1wnc,5283,1662566757,9246,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=9246
1662576060,xI6ph__1wnc,5302,1662566757,9305,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=9305
1662576121,xI6ph__1wnc,5319,1662566757,9366,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=9366
1662576180,xI6ph__1wnc,5353,1662566757,9425,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=9425
1662576240,xI6ph__1wnc,5392,1662566757,9485,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=9485
1662576300,xI6ph__1wnc,5387,1662566757,9545,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=9545
1662576360,xI6ph__1wnc,5363,1662566757,9605,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=9605
1662576422,xI6ph__1wnc,5361,1662566757,9667,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=9667
1662576481,xI6ph__1wnc,5375,1662566757,9726,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=9726
1662576540,xI6ph__1wnc,5354,1662566757,9785,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=9785
1662576600,xI6ph__1wnc,5363,1662566757,9845,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=9845
1662576661,xI6ph__1wnc,5370,1662566757,9906,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=9906
1662576721,xI6ph__1wnc,5377,1662566757,9966,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=9966
1662576780,xI6ph__1wnc,5398,1662566757,10025,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=10025
